Company,quantity
AALR3,118293000
ABCB3,226090000
ABCB4,226090000
ABEV3,15744500000
ABYA3,104906000
ACES3,74320000
ACES4,74320000
ADHM3,16308000
AEDU11,437071000
AEDU3,437071000
AELP3,93947000
AERI3,766213000
AESB3,492106000
AESL3,1125430
AESL4,1125430
AFLT3,63085000
AFLU3,18818000
AFLU5,18818000
AGEI3,300000000
AGEN33,242706000
AGIN3,239297000
AGRO3,102377000
AGXY3,170825000
AHEB3,8544000
AHEB5,8544000
AHEB6,8544000
ALBA3,0
ALLD3,93220600
ALLL11,1854160000
ALLL3,1854160000
ALLL4,1854160000
ALPA3,683062000
ALPA4,683062000
ALPK3,209232000
ALSC3,205198000
ALSO3,265773000
ALUP11,879111000
ALUP3,879111000
ALUP4,879111000
AMAR3,261667000
AMBP3,112936000
AMBV3,3132290000
AMBV4,3132290000
AMER3,887385000
AMIL3,366746000
AMPI3,12000000000
ANIM3,403869000
APER3,15232000
APTI4,19000
ARCE3,650993000
ARCZ3,1032550000
ARCZ6,1032550000
ARLA3,4460000
ARLA4,4460000
ARML3,345760000
ARPS3,0
ARPS4,0
ARTE3,158000
ARTE4,158000
ARTR3,574879000
ARZZ3,109796000
ASAI3,1346910000
ASSM3,237000
ASSM4,237000
ASTA4,20000000
ATMP3,26710000
ATOM3,20899000
AURA33,70742500
AUTM3,125769000
AVIL3,4944310000
AVLL3,22415800
AZEV3,54450000
AZEV4,54450000
AZUL4,346066000
B3SA3,6126000000
BAHI11,16352000
BAHI3,16352000
BAHI4,16352000
BAHI5,16352000
BALM3,9800000
BALM4,9800000
BAUH4,5222000
BAZA3,29646000
BBAS3,2865420000
BBDC3,9719080000
BBDC4,9719080000
BBRK3,78531800
BBSE3,2000000000
BBTG11,0
BBTG12,84440000
BBTG13,84440000
BCAL6,72410000000
BDLL3,1600000
BDLL4,1600000
BECE3,92469000
BECE4,92469000
BEEF3,607283000
BEES3,315913000
BEES4,315913000
BELG3,650993000
BELG4,650993000
BEMA3,51568000
BERG3,0
BESP3,38747800000
BESP4,38747800000
BFIT3,3890550000
BFIT4,3890550000
BGIP3,15285000
BGIP4,15285000
BHGR3,62141400
BICB3,252904000
BICB4,252904000
BIDI11,2578600000
BIDI3,2578600000
BIDI4,2578600000
BIOM3,73528000
BIOM4,73528000
BISA3,1339600000
BKBR3,275355000
BLAU3,179394000
BLUT3,20077000
BLUT4,20077000
BMEB3,104832000
BMEB4,104832000
BMEF3,1010790000
BMGB11,583232000
BMGB4,583232000
BMIN3,4825000
BMIN4,4825000
BMKS3,454750
BMOB3,90909100
BMTO3,286444000
BMTO4,286444000
BNBR3,86371000
BNBR4,86371000
BNCA3,107036000
BOAS3,531440000
BOBR3,260510000
BOBR4,260510000
BOVH3,722888000
BPAC11,11506100000
BPAC3,11506100000
BPAC5,11506100000
BPAN4,1205060000
BPAR3,9522000
BPAT33,719145000
BPHA3,113081000
BPIA3,13488000
BPNM3,1205060000
BRAP3,393097000
BRAP4,393097000
BRBI11,314987000
BRFS3,812473000
BRGE11,73646000
BRGE12,73646000
BRGE3,73646000
BRGE5,73646000
BRGE6,73646000
BRGE7,73646000
BRGE8,73646000
BRIT3,449095000
BRIV3,88601000
BRIV4,88601000
BRKM3,797208000
BRKM5,797208000
BRKM6,797208000
BRML3,828274000
BRPR3,474160000
BRSR3,408974000
BRSR4,408974000
BRSR5,408974000
BRSR6,408974000
BRTP3,363969000
BRTP4,363969000
BSCT3,167978000
BSCT5,167978000
BSCT6,167978000
BSEV3,1020430000
BSGR3,0
BSLI3,363047000
BSLI4,363047000
BTTL3,14861000
BUET3,4845000
BUET4,4845000
CAFE3,2184540000
CAFE4,2184540000
CALI3,372000
CALI4,372000
CAMB3,42275000
CAMB4,42275000
CAML3,370000000
CARD3,41800000
CASH3,803670000
CASN3,874960000
CBAV3,595833000
CBEE3,240210000
CBMA3,102585000
CBMA4,102585000
CCHI3,78000000
CCHI4,78000000
CCIM3,113000000
CCRO3,2020000000
CCTU4,2046000
CCXC3,1701000
CEAB3,308245000
CEBR3,72082000
CEBR5,72082000
CEBR6,72082000
CEDO3,10000000
CEDO4,10000000
CEEB3,262096000
CEEB5,262096000
CEED3,68255000
CEED4,68255000
CEGR3,259638000
CELM3,116000
CEPE3,74612000
CEPE5,74612000
CEPE6,74612000
CESP3,327503000
CESP4,327503000
CESP5,327503000
CESP6,327503000
CFLU4,0
CGAS3,132521000
CGAS5,132521000
CGOS3,32780000
CGOS4,32780000
CGRA3,19316300
CGRA4,19316300
CIEL3,2716820000
CIQU3,24948000
CIQU4,24948000
CLAN3,158703000
CLAN4,158703000
CLSA3,187926000
CLSC3,38572000
CLSC4,38572000
CLSC5,38572000
CLSC6,38572000
CMET4,3919750000
CMIG3,1693360000
CMIG4,1693360000
CMIN3,5591250000
CMMA4,0
CNFB4,406266000
COCE3,77855000
COCE5,77855000
COCE6,77855000
COGN3,1876610000
CORR3,23153
CORR4,23153
CPFE3,1152250000
CPFG3,181789000000
CPFG4,181789000000
CPFP4,53096800000
CPLE11,2736550000
CPLE3,2736550000
CPLE5,2736550000
CPLE6,2736550000
CPNY3,72006100
CPRE3,593783000
CPSL3,150217000
CRBM3,30009000
CRBM7,30009000
CRDE3,2422000
CREM3,32077000
CREM4,32077000
CRFB3,1985340000
CRIV3,102943000
CRIV4,102943000
CRPG3,29019000
CRPG5,29019000
CRPG6,29019000
CRTP3,33281000
CRTP5,33281000
CRUZ3,1528450000
CSAB3,7680000
CSAB4,7680000
CSAN3,1874070000
CSED3,381822000
CSMG3,380253000
CSNA3,1387520000
CSPC3,0
CSPC4,0
CSRN3,168074000
CSRN5,168074000
CSRN6,168074000
CSTB3,0
CSTB4,0
CTIP3,262979000
CTKA3,6205000
CTKA4,6205000
CTNM3,30636000
CTNM4,30636000
CTPC3,12981000
CTPC4,12981000
CTSA3,111299000
CTSA4,111299000
CTSA8,111299000
CTWR3,499000
CURY3,291875000
CVCB3,224935000
CXSE3,3000000000
CYRE3,399743000
